Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,19,15,39,2
0,21,15,81,2
1,20,16,6,1
1,23,16,77,2
1,31,17,40,1
1,22,17,76,2
1,35,18,6,1
1,23,18,94,2
0,64,19,3,0
1,30,19,72,2
0,67,19,14,0
1,35,19,99,2
1,58,20,15,1
1,24,20,77,2
0,37,20,13,1
0,22,20,79,2
1,35,21,35,1
0,20,21,66,2
0,52,23,29,1
1,35,23,98,2
0,35,24,35,1
0,25,24,73,2
1,46,25,5,1
0,31,25,73,2
1,54,28,14,1
0,29,28,82,2
1,45,28,32,1
0,35,28,61,2
1,40,29,31,1
1,23,29,87,2
0,60,30,4,0
1,21,30,73,2
0,53,33,4,0
0,18,33,92,2
1,49,33,14,1
1,21,33,81,2
1,42,34,17,1
1,30,34,73,2
1,36,37,26,1
1,20,37,75,2
1,65,38,35,1
0,24,38,92,2
0,48,39,36,0
1,31,39,61,2
1,49,39,28,1
1,24,39,65,2
1,50,40,55,1
1,27,40,47,2
1,29,40,42,2
1,31,40,42,1
1,49,42,52,1
0,33,42,60,2
1,31,43,54,2
0,59,43,60,0
1,50,43,45,1
0,47,43,41,0
1,51,44,50,1
0,69,44,46,0
1,27,46,51,2
0,53,46,46,0
0,70,46,56,0
0,19,46,55,3
1,67,47,52,1
1,54,47,59,1
0,63,48,51,0
0,18,48,59,3
1,43,48,50,1
1,68,48,48,1
0,19,48,59,3
1,32,48,47,2
0,70,49,55,0
1,47,49,42,1
1,60,50,49,1
1,60,50,56,1
0,59,54,47,0
0,26,54,54,3
1,45,54,53,1
0,40,54,48,0
1,23,54,52,2
1,49,54,42,1
0,57,54,51,0
0,38,54,55,0
0,67,54,41,0
1,46,54,44,1
1,21,54,57,2
0,48,54,46,0
1,55,57,58,1
1,22,57,55,2
1,34,58,60,2
1,50,58,46,1
1,68,59,55,1
0,18,59,41,3
0,48,60,49,0
1,40,60,40,1
1,32,60,42,2
0,24,60,52,3
1,47,60,47,1
1,27,60,50,2
0,48,61,42,0
0,20,61,49,3
1,23,62,41,2
1,49,62,48,1
0,67,62,59,0
0,26,62,55,3
0,49,62,56,0
1,21,62,42,2
1,66,63,50,1
0,54,63,46,0
0,68,63,43,0
0,66,63,48,0
0,65,63,52,0
1,19,63,54,2
1,38,64,42,1
0,19,64,46,3
1,18,65,48,2
1,19,65,50,2
1,63,65,43,1
1,49,65,59,1
1,51,67,43,1
1,50,67,57,1
0,27,67,56,3
1,38,67,40,1
1,40,69,58,2
0,39,69,91,3
1,23,70,29,2
1,31,70,77,2
0,43,71,35,0
0,40,71,95,3
0,59,71,11,0
0,38,71,75,3
0,47,71,9,0
0,39,71,75,3
1,25,72,34,2
1,31,72,71,2
0,20,73,5,0
1,29,73,88,2
1,44,73,7,1
0,32,73,73,3
0,19,74,10,0
1,35,74,72,2
1,57,75,5,0
0,32,75,93,3
1,28,76,40,2
1,32,76,87,2
0,25,77,12,0
0,28,77,97,3
0,48,77,36,0
1,32,77,74,2
1,34,78,22,1
0,34,78,90,3
0,43,78,17,0
0,39,78,88,3
1,44,78,20,0
1,38,78,76,2
1,47,78,16,0
1,27,78,89,2
0,37,78,1,0
1,30,78,78,2
0,34,78,1,0
1,30,78,73,2
1,56,79,35,0
1,29,79,83,2
0,19,81,5,0
1,31,81,93,2
0,50,85,26,0
1,36,85,75,2
0,42,86,20,0
1,33,86,95,2
1,36,87,27,0
0,32,87,63,3
0,40,87,13,0
0,28,87,75,3
0,36,87,10,0
0,36,87,92,3
1,52,88,13,0
1,30,88,86,2
0,58,88,15,0
0,27,88,69,3
0,59,93,14,0
0,35,93,90,3
1,37,97,32,0
1,32,97,86,3
0,46,98,15,0
1,29,98,88,3
1,41,99,39,0
0,30,99,97,3
1,54,101,24,0
0,28,101,68,3
1,41,103,17,0
1,36,103,85,3
1,34,103,23,0
1,32,103,69,3
0,33,113,8,0
1,38,113,91,3
1,47,120,16,0
1,35,120,79,3
1,45,126,28,0
0,32,126,74,3
0,32,137,18,3
0,30,137,83,3
